Year,State,County,Office,Party,Votes
2018,IN,Dekalb County,US Senator,Republican,9167
2018,IN,Delaware County,US Senator,Democratic,18159
2018,IN,Delaware County,US Senator,Republican,17447
2018,IN,Dubois County,US Senator,Democratic,5264
2018,IN,Dubois County,US Senator,Republican,11204
2018,IN,Fayette County,US Senator,Democratic,2295
2018,IN,Fayette County,US Senator,Republican,4704
2018,IN,Floyd County,US Senator,Democratic,14070
2018,IN,Floyd County,US Senator,Republican,16588
2018,IN,Fountain County,US Senator,Democratic,1496
2018,IN,Fountain County,US Senator,Republican,4060
2018,IN,Franklin County,US Senator,Democratic,1619
2018,IN,Franklin County,US Senator,Republican,5614
2018,IN,Fulton County,US Senator,Democratic,2539
2018,IN,Fulton County,US Senator,Republican,4154
2018,IN,Grant County,US Senator,Democratic,6745
2018,IN,Grant County,US Senator,Republican,12393
2018,IN,Greene County,US Senator,Democratic,3313
2018,IN,Greene County,US Senator,Republican,6949
2018,IN,Hamilton County,US Senator,Democratic,61337
2018,IN,Hamilton County,US Senator,Republican,72325
2018,IN,Hancock County,US Senator,Democratic,9770
2018,IN,Hancock County,US Senator,Republican,19097
2018,IN,Harrison County,US Senator,Democratic,5131
2018,IN,Harrison County,US Senator,Republican,9847
2018,IN,Hendricks County,US Senator,Democratic,23599
2018,IN,Hendricks County,US Senator,Republican,36966
2018,IN,Howard County,US Senator,Democratic,11159
2018,IN,Howard County,US Senator,Republican,16736
2018,IN,Huntington County,US Senator,Democratic,3699
2018,IN,Huntington County,US Senator,Republican,8879
2018,IN,Jackson County,US Senator,Democratic,4198
2018,IN,Jackson County,US Senator,Republican,9431
2018,IN,Jasper County,US Senator,Democratic,3278
2018,IN,Jasper County,US Senator,Republican,6987
2018,IN,Jay County,US Senator,Democratic,1933
2018,IN,Jay County,US Senator,Republican,3990
2018,IN,Jefferson County,US Senator,Democratic,4313
2018,IN,Jefferson County,US Senator,Republican,6345
2018,IN,Johnson County,US Senator,Democratic,17479
2018,IN,Johnson County,US Senator,Republican,32540
2018,IN,Lagrange County,US Senator,Democratic,2217
2018,IN,Lagrange County,US Senator,Republican,5183
2018,IN,Lake County,US Senator,Democratic,104390
2018,IN,Lake County,US Senator,Republican,54564
2018,IN,Laporte County,US Senator,Democratic,20014
2018,IN,Laporte County,US Senator,Republican,16008
2018,IN,Lawrence County,US Senator,Democratic,4434
2018,IN,Lawrence County,US Senator,Republican,10274
2018,IN,Madison County,US Senator,Democratic,18701
2018,IN,Madison County,US Senator,Republican,22841
2018,IN,Marion County,US Senator,Democratic,197880
2018,IN,Marion County,US Senator,Republican,98385
2018,IN,Marshall County,US Senator,Democratic,5619
2018,IN,Marshall County,US Senator,Republican,8747
2018,IN,Martin County,US Senator,Democratic,1127
2018,IN,Martin County,US Senator,Republican,2997
2018,IN,Monroe County,US Senator,Democratic,34193
2018,IN,Monroe County,US Senator,Republican,15540
2018,IN,Montgomery County,US Senator,Democratic,3518
2018,IN,Montgomery County,US Senator,Republican,8362
2018,IN,Morgan County,US Senator,Democratic,6471
2018,IN,Morgan County,US Senator,Republican,17539
2018,IN,Ohio County,US Senator,Democratic,747
2018,IN,Ohio County,US Senator,Republican,1586
2018,IN,Owen County,US Senator,Democratic,2210
2018,IN,Owen County,US Senator,Republican,4601
2018,IN,Parke County,US Senator,Democratic,1499
2018,IN,Parke County,US Senator,Republican,3532
2018,IN,Perry County,US Senator,Democratic,3364
2018,IN,Perry County,US Senator,Republican,3450
2018,IN,Pike County,US Senator,Democratic,1679
2018,IN,Pike County,US Senator,Republican,3235
2018,IN,Porter County,US Senator,Democratic,33390
2018,IN,Porter County,US Senator,Republican,29368
2018,IN,Posey County,US Senator,Democratic,3881
2018,IN,Posey County,US Senator,Republican,6324
2018,IN,Pulaski County,US Senator,Democratic,1617
2018,IN,Pulaski County,US Senator,Republican,2583
2018,IN,Randolph County,US Senator,Democratic,2467
2018,IN,Randolph County,US Senator,Republican,5138
2018,IN,Ripley County,US Senator,Democratic,2350
2018,IN,Ripley County,US Senator,Republican,6880
2018,IN,Rush County,US Senator,Democratic,1690
2018,IN,Rush County,US Senator,Republican,3991
2018,IN,Scott County,US Senator,Democratic,3113
2018,IN,Scott County,US Senator,Republican,4241
2018,IN,Shelby County,US Senator,Democratic,4333
2018,IN,Shelby County,US Senator,Republican,9340
2018,IN,St. Joseph County,US Senator,Democratic,53758
2018,IN,St. Joseph County,US Senator,Republican,36456
2018,IN,Starke County,US Senator,Democratic,3119
2018,IN,Starke County,US Senator,Republican,4149
2018,IN,Steuben County,US Senator,Democratic,3864
2018,IN,Steuben County,US Senator,Republican,7839
2018,IN,Sullivan County,US Senator,Democratic,2663
2018,IN,Sullivan County,US Senator,Republican,4340
2018,IN,Tippecanoe County,US Senator,Democratic,26376
2018,IN,Tippecanoe County,US Senator,Republican,22649
2018,IN,Tipton County,US Senator,Democratic,1734
2018,IN,Tipton County,US Senator,Republican,4062
2018,IN,Union County,US Senator,Democratic,682
2018,IN,Union County,US Senator,Republican,1749
2018,IN,Vanderburgh County,US Senator,Democratic,27183
2018,IN,Vanderburgh County,US Senator,Republican,29375
2018,IN,Vigo County,US Senator,Democratic,15171
2018,IN,Vigo County,US Senator,Republican,14813
2018,IN,Warren County,US Senator,Democratic,914
2018,IN,Warren County,US Senator,Republican,2208
2018,IN,Warrick County,US Senator,Democratic,9594
2018,IN,Warrick County,US Senator,Republican,14010
2018,IN,Washington County,US Senator,Democratic,2806
2018,IN,Washington County,US Senator,Republican,6127
2018,IN,Wayne County,US Senator,Democratic,7482
2018,IN,Wayne County,US Senator,Republican,11241
2018,IN,Wells County,US Senator,Democratic,2694
2018,IN,Wells County,US Senator,Republican,7819
2018,IN,White County,US Senator,Democratic,2736
2018,IN,White County,US Senator,Republican,5100
2018,IN,Whitley County,US Senator,Democratic,3818
2018,IN,Whitley County,US Senator,Republican,9019
2018,ME,Androscoggin County,US Senator,Democratic,22150
2018,ME,Androscoggin County,US Senator,Republican,18931
2018,ME,Cumberland County,US Senator,Democratic,93860
2018,ME,Cumberland County,US Senator,Republican,40053
2018,ME,Hancock County,US Senator,Democratic,15463
2018,ME,Hancock County,US Senator,Republican,9837
2018,ME,Knox County,US Senator,Democratic,12009
2018,ME,Knox County,US Senator,Republican,6270
2018,ME,Lincoln County,US Senator,Democratic,10763
2018,ME,Lincoln County,US Senator,Republican,6814
2018,ME,Oxford County,US Senator,Democratic,12954
2018,ME,Oxford County,US Senator,Republican,10510
2018,ME,Penobscot County,US Senator,Democratic,31290
2018,ME,Penobscot County,US Senator,Republican,27692
2018,ME,Somerset County,US Senator,Democratic,9631
2018,ME,Somerset County,US Senator,Republican,9831
2018,ME,Washington County,US Senator,Democratic,6310
2018,ME,Washington County,US Senator,Republican,5770
2018,ME,York County,US Senator,Democratic,51387
2018,ME,York County,US Senator,Republican,32849
2018,MD,Anne Arundel County,US Senator,Democratic,122910
2018,MD,Anne Arundel County,US Senator,Republican,92401
2018,MD,Baltimore City,US Senator,Democratic,160370
2018,MD,Baltimore City,US Senator,Republican,16184
2018,MD,Baltimore County,US Senator,Democratic,197530
2018,MD,Baltimore County,US Senator,Republican,106275
2018,MD,Calvert County,US Senator,Democratic,17372
2018,MD,Calvert County,US Senator,Republican,19901
2018,MD,Caroline County,US Senator,Democratic,4265
2018,MD,Caroline County,US Senator,Republican,6474
2018,MD,Charles County,US Senator,Democratic,44874
2018,MD,Charles County,US Senator,Republican,17872
2018,MD,Dorchester County,US Senator,Democratic,5928
2018,MD,Dorchester County,US Senator,Republican,5864
2018,MD,Frederick County,US Senator,Democratic,55256
2018,MD,Frederick County,US Senator,Republican,47038
2018,MD,Garrett County,US Senator,Democratic,2817
2018,MD,Garrett County,US Senator,Republican,7801
2018,MD,Kent County,US Senator,Democratic,4588
2018,MD,Kent County,US Senator,Republican,3490
2018,MD,Prince George's County,US Senator,Democratic,286975
2018,MD,Prince George's County,US Senator,Republican,24140
2018,MD,Somerset County,US Senator,Democratic,3652
2018,MD,Somerset County,US Senator,Republican,3882
2018,MD,St. Mary's County,US Senator,Democratic,16849
2018,MD,St. Mary's County,US Senator,Republican,21393
2018,MD,Washington County,US Senator,Democratic,19956
2018,MD,Washington County,US Senator,Republican,28319
2018,MD,Wicomico County,US Senator,Democratic,16539
2018,MD,Wicomico County,US Senator,Republican,15644
2018,MD,Worcester County,US Senator,Democratic,9840
2018,MD,Worcester County,US Senator,Republican,12886
2018,MA,Barnstable County,US Senator,Democratic,125340
2018,MA,Barnstable County,US Senator,Republican,103620
2018,MA,Essex County,US Senator,Democratic,356686
2018,MA,Essex County,US Senator,Republican,242134
2018,MA,Franklin County,US Senator,Democratic,45824
2018,MA,Franklin County,US Senator,Republican,17580
2018,MA,Hampshire County,US Senator,Democratic,99886
2018,MA,Hampshire County,US Senator,Republican,36434
2018,MA,Middlesex County,US Senator,Democratic,881802
2018,MA,Middlesex County,US Senator,Republican,405742
2018,MA,Nantucket County,US Senator,Democratic,5324
2018,MA,Nantucket County,US Senator,Republican,2702
2018,MA,Norfolk County,US Senator,Democratic,359706
2018,MA,Norfolk County,US Senator,Republican,234404
2018,MA,Plymouth County,US Senator,Democratic,215190
2018,MA,Plymouth County,US Senator,Republican,219990
2018,MA,Suffolk County,US Senator,Democratic,393246
2018,MA,Suffolk County,US Senator,Republican,93004
2018,MI,Alcona County,US Senator,Democratic,1915
2018,MI,Alcona County,US Senator,Republican,3541
2018,MI,Alger County,US Senator,Democratic,1911
2018,MI,Alger County,US Senator,Republican,2162
2018,MI,Alpena County,US Senator,Democratic,5412
2018,MI,Alpena County,US Senator,Republican,7380
2018,MI,Antrim County,US Senator,Democratic,4953
2018,MI,Antrim County,US Senator,Republican,7629
2018,MI,Baraga County,US Senator,Democratic,1344
2018,MI,Baraga County,US Senator,Republican,1825
2018,MI,Bay County,US Senator,Democratic,22502
2018,MI,Bay County,US Senator,Republican,22752
2018,MI,Branch County,US Senator,Democratic,5144
2018,MI,Branch County,US Senator,Republican,9666
2018,MI,Calhoun County,US Senator,Democratic,22739
2018,MI,Calhoun County,US Senator,Republican,25950
2018,MI,Cass County,US Senator,Democratic,7079
2018,MI,Cass County,US Senator,Republican,11811
2018,MI,Cheboygan County,US Senator,Democratic,4825
2018,MI,Cheboygan County,US Senator,Republican,7384
2018,MI,Chippewa County,US Senator,Democratic,5901
2018,MI,Chippewa County,US Senator,Republican,7767
2018,MI,Clinton County,US Senator,Democratic,17564
2018,MI,Clinton County,US Senator,Republican,18946
2018,MI,Crawford County,US Senator,Democratic,2306
2018,MI,Crawford County,US Senator,Republican,3751
2018,MI,Delta County,US Senator,Democratic,6932
2018,MI,Delta County,US Senator,Republican,9197
2018,MI,Eaton County,US Senator,Democratic,26147
2018,MI,Eaton County,US Senator,Republican,23771
2018,MI,Emmet County,US Senator,Democratic,7620
2018,MI,Emmet County,US Senator,Republican,9875
2018,MI,Genesee County,US Senator,Democratic,95903
2018,MI,Genesee County,US Senator,Republican,68648
2018,MI,Gladwin County,US Senator,Democratic,4160
2018,MI,Gladwin County,US Senator,Republican,6604
2018,MI,Gogebic County,US Senator,Democratic,3311
2018,MI,Gogebic County,US Senator,Republican,3078
2018,MI,Grand Traverse County,US Senator,Democratic,22757
2018,MI,Grand Traverse County,US Senator,Republican,24903
2018,MI,Hillsdale County,US Senator,Democratic,5079
2018,MI,Hillsdale County,US Senator,Republican,11310
2018,MI,Houghton County,US Senator,Democratic,6533
2018,MI,Houghton County,US Senator,Republican,7503
2018,MI,Huron County,US Senator,Democratic,5087
2018,MI,Huron County,US Senator,Republican,8312
2018,MI,Iosco County,US Senator,Democratic,4752
2018,MI,Iosco County,US Senator,Republican,6694
2018,MI,Jackson County,US Senator,Democratic,25858
2018,MI,Jackson County,US Senator,Republican,33490
2018,MI,Keweenaw County,US Senator,Democratic,598
2018,MI,Keweenaw County,US Senator,Republican,704
2018,MI,Lake County,US Senator,Democratic,1936
2018,MI,Lake County,US Senator,Republican,2633
2018,MI,Lapeer County,US Senator,Democratic,14396
2018,MI,Lapeer County,US Senator,Republican,24206
2018,MI,Leelanau County,US Senator,Democratic,7216
2018,MI,Leelanau County,US Senator,Republican,6775
2018,MI,Livingston County,US Senator,Democratic,37450
2018,MI,Livingston County,US Senator,Republican,58020
2018,MI,Luce County,US Senator,Democratic,811
2018,MI,Luce County,US Senator,Republican,1524
2018,MI,Mackinac County,US Senator,Democratic,2325
2018,MI,Mackinac County,US Senator,Republican,3298
2018,MI,Macomb County,US Senator,Democratic,179975
2018,MI,Macomb County,US Senator,Republican,173369
2018,MI,Manistee County,US Senator,Democratic,5242
2018,MI,Manistee County,US Senator,Republican,6183
2018,MI,Marquette County,US Senator,Democratic,16977
2018,MI,Marquette County,US Senator,Republican,12348
2018,MI,Mason County,US Senator,Democratic,5708
2018,MI,Mason County,US Senator,Republican,7625
2018,MI,Menominee County,US Senator,Democratic,3653
2018,MI,Menominee County,US Senator,Republican,4982
2018,MI,Missaukee County,US Senator,Democratic,1783
2018,MI,Missaukee County,US Senator,Republican,4650
2018,MI,Monroe County,US Senator,Democratic,26651
2018,MI,Monroe County,US Senator,Republican,33607
2018,MI,Montcalm County,US Senator,Democratic,8758
2018,MI,Montcalm County,US Senator,Republican,13878
2018,MI,Montmorency County,US Senator,Democratic,1537
2018,MI,Montmorency County,US Senator,Republican,2978
2018,MI,Muskegon County,US Senator,Democratic,35957
2018,MI,Muskegon County,US Senator,Republican,30831
2018,MI,Newaygo County,US Senator,Democratic,6858
2018,MI,Newaygo County,US Senator,Republican,12870
2018,MI,Oakland County,US Senator,Democratic,338986
2018,MI,Oakland County,US Senator,Republican,256017
2018,MI,Oceana County,US Senator,Democratic,4213
2018,MI,Oceana County,US Senator,Republican,6263
2018,MI,Ogemaw County,US Senator,Democratic,3280
2018,MI,Ogemaw County,US Senator,Republican,5592
2018,MI,Ontonagon County,US Senator,Democratic,1313
2018,MI,Ontonagon County,US Senator,Republican,1752
2018,MI,Osceola County,US Senator,Democratic,2934
2018,MI,Osceola County,US Senator,Republican,6186
2018,MI,Oscoda County,US Senator,Democratic,1221
2018,MI,Oscoda County,US Senator,Republican,2410
2018,MI,Otsego County,US Senator,Democratic,3969
2018,MI,Otsego County,US Senator,Republican,7092
2018,MI,Ottawa County,US Senator,Democratic,45696
2018,MI,Ottawa County,US Senator,Republican,80318
2018,MI,Presque Isle County,US Senator,Democratic,2760
2018,MI,Presque Isle County,US Senator,Republican,3788
2018,MI,Roscommon County,US Senator,Democratic,4643
2018,MI,Roscommon County,US Senator,Republican,6864
2018,MI,Saginaw County,US Senator,Democratic,41472
2018,MI,Saginaw County,US Senator,Republican,37809
2018,MI,Sanilac County,US Senator,Democratic,5418
2018,MI,Sanilac County,US Senator,Republican,10657
2018,MI,Schoolcraft County,US Senator,Democratic,1547
2018,MI,Schoolcraft County,US Senator,Republican,2099
2018,MI,St. Clair County,US Senator,Democratic,27540
2018,MI,St. Clair County,US Senator,Republican,38329
2018,MI,St. Joseph County,US Senator,Democratic,7278
2018,MI,St. Joseph County,US Senator,Republican,12489
2018,MI,Washtenaw County,US Senator,Democratic,123305
2018,MI,Washtenaw County,US Senator,Republican,47380
2018,MI,Wayne County,US Senator,Democratic,455176
2018,MI,Wayne County,US Senator,Republican,190884
2018,MI,Wexford County,US Senator,Democratic,4832
2018,MI,Wexford County,US Senator,Republican,8745
2018,MN,Aitkin County,US Senator,Democratic,4118
2018,MN,Aitkin County,US Senator,Republican,3808
2018,MN,Anoka County,US Senator,Democratic,87756
2018,MN,Anoka County,US Senator,Republican,65707
2018,MN,Becker County,US Senator,Democratic,6699
2018,MN,Becker County,US Senator,Republican,7520
2018,MN,Beltrami County,US Senator,Democratic,9711
2018,MN,Beltrami County,US Senator,Republican,7562
2018,MN,Benton County,US Senator,Democratic,7131
2018,MN,Benton County,US Senator,Republican,8290
2018,MN,Big Stone County,US Senator,Democratic,1368
2018,MN,Big Stone County,US Senator,Republican,1127
2018,MN,Blue Earth County,US Senator,Democratic,16776
2018,MN,Blue Earth County,US Senator,Republican,9984
2018,MN,Brown County,US Senator,Democratic,5614
2018,MN,Brown County,US Senator,Republican,5816
2018,MN,Carver County,US Senator,Democratic,27168
2018,MN,Carver County,US Senator,Republican,22540
2018,MN,Cass County,US Senator,Democratic,6243
2018,MN,Cass County,US Senator,Republican,7332
2018,MN,Chippewa County,US Senator,Democratic,2925
2018,MN,Chippewa County,US Senator,Republican,2422
2018,MN,Chisago County,US Senator,Democratic,12138
2018,MN,Chisago County,US Senator,Republican,12663
2018,MN,Clay County,US Senator,Democratic,14950
2018,MN,Clay County,US Senator,Republican,8480
2018,MN,Clearwater County,US Senator,Democratic,1302
2018,MN,Clearwater County,US Senator,Republican,2080
2018,MN,Cottonwood County,US Senator,Democratic,2413
2018,MN,Cottonwood County,US Senator,Republican,2488
2018,MN,Crow Wing County,US Senator,Democratic,14206
2018,MN,Crow Wing County,US Senator,Republican,16132
2018,MN,Dakota County,US Senator,Democratic,127016
2018,MN,Dakota County,US Senator,Republican,73462
2018,MN,Douglas County,US Senator,Democratic,8504
2018,MN,Douglas County,US Senator,Republican,9113
2018,MN,Faribault County,US Senator,Democratic,3031
2018,MN,Faribault County,US Senator,Republican,3103
2018,MN,Fillmore County,US Senator,Democratic,5128
2018,MN,Fillmore County,US Senator,Republican,4263
2018,MN,Freeborn County,US Senator,Democratic,7675
2018,MN,Freeborn County,US Senator,Republican,5779
2018,MN,Goodhue County,US Senator,Democratic,12379
2018,MN,Goodhue County,US Senator,Republican,9940
2018,MN,Houston County,US Senator,Democratic,4425
2018,MN,Houston County,US Senator,Republican,4149
2018,MN,Hubbard County,US Senator,Democratic,4494
2018,MN,Hubbard County,US Senator,Republican,5312
2018,MN,Isanti County,US Senator,Democratic,7440
2018,MN,Isanti County,US Senator,Republican,9226
2018,MN,Jackson County,US Senator,Democratic,2174
2018,MN,Jackson County,US Senator,Republican,2341
2018,MN,Kanabec County,US Senator,Democratic,3138
2018,MN,Kanabec County,US Senator,Republican,3363
2018,MN,Kandiyohi County,US Senator,Democratic,9378
2018,MN,Kandiyohi County,US Senator,Republican,8596
2018,MN,Koochiching County,US Senator,Democratic,2886
2018,MN,Koochiching County,US Senator,Republican,2238
2018,MN,Lac Qui Parle County,US Senator,Democratic,1866
2018,MN,Lac Qui Parle County,US Senator,Republican,1404
2018,MN,Lake County,US Senator,Democratic,3539
2018,MN,Lake County,US Senator,Republican,2196
2018,MN,Lake Of The Woods County,US Senator,Democratic,729
2018,MN,Lake Of The Woods County,US Senator,Republican,1072
2018,MN,Lincoln County,US Senator,Democratic,1164
2018,MN,Lincoln County,US Senator,Republican,1213
2018,MN,Mahnomen County,US Senator,Democratic,1098
2018,MN,Mahnomen County,US Senator,Republican,708
2018,MN,Martin County,US Senator,Democratic,3770
2018,MN,Martin County,US Senator,Republican,4664
2018,MN,Mcleod County,US Senator,Democratic,6825
2018,MN,Mcleod County,US Senator,Republican,7684
2018,MN,Meeker County,US Senator,Democratic,4677
2018,MN,Meeker County,US Senator,Republican,5363
2018,MN,Mille Lacs County,US Senator,Democratic,4771
2018,MN,Mille Lacs County,US Senator,Republican,5492
2018,MN,Morrison County,US Senator,Democratic,5246
